"Group.1"	"year"	"rgdpe"	"rgdpo"	"rkna"	"wagee"	"wageo"	"rconna"	"profite"	"profito"	"teste"	"testo"	"psharee"	"pshareo"	"kprode"	"kprodo"	"exploite"	"exploito"	"pratee"	"prateo"	"wsharee"	"wshareo"
"31"	1980	330660	23066420.1084822	22862957.2502959	67314899.4409733	13777855.6105505	13634929.2426728	18596778.3354646	9288564.49793174	9228028.00762311	23066420.1084822	22862957.2502959	0.402687736295762	0.403623551695338	0.342664407137807	0.339641854034764	0.674166195414254	0.676793245009476	0.137986754419453	0.137087451429901	0.597312263704238	0.596376448304662
"32"	1981	330827	23309326.4279118	23180540.5883121	70239042.8668812	13818629.7283073	13718414.0305105	19024715.352898	9490696.69960452	9462126.55780162	23309326.4279118	23180540.5883121	0.407163061058678	0.408192661502145	0.331857119296005	0.330023582927296	0.686804472382884	0.689739100799651	0.135119960526676	0.134713204673567	0.592836938941322	0.591807338497855
"33"	1982	330994	23241854.7560329	23059704.1690553	72802776.4256082	13774160.8600109	13638704.7453	19418191.706801	9467693.89602198	9420999.42375528	23241854.7560329	23059704.1690553	0.407355350741294	0.40854814765567	0.319244071409585	0.31674209832668	0.687351773530434	0.690754701395073	0.13004578068113	0.129404397555935	0.592644649258706	0.59145185234433
"34"	1983	331161	23782779.9611023	23517754.0817669	75330893.1376091	13993730.7841763	13813646.6949438	20061984.2039552	9789049.17692602	9704107.38682305	23782779.9611023	23517754.0817669	0.411602394376789	0.412629001608047	0.315710845451648	0.312192688845549	0.699531049146323	0.702501490093489	0.129947339918619	0.128819757507671	0.588397605623211	0.587370998391953
"35"	1984	331328	25058027.2470493	24765315.6603443	77967654.3580622	14633300.2012884	14440821.8519168	20986675.7273042	10424727.0457609	10324493.8084275	25058027.2470493	24765315.6603443	0.41602345400069	0.416893285352291	0.321390036077931	0.317635766578419	0.712397538652489	0.714951954556316	0.133705792890547	0.132420218274271	0.58397654599931	0.583106714647709
"36"	1985	331495	25855784.8801651	25619213.4084859	80696888.9914814	15031974.3678586	14864789.0237206	21811061.1600051	10823810.5123065	10754424.3847653	25855784.8801651	25619213.4084859	0.41862239195105	0.419779647926393	0.320406216439081	0.317474610591126	0.720052485949551	0.723483149851902	0.134129216721714	0.133269380259512	0.58137760804895	0.580220352073607
"37"	1986	331662	26897632.9286212	26748860.8156126	83527523.3310905	15648678.8439011	15540666.5866267	22667538.4504496	11248954.0847201	11208194.2289859	26897632.9286212	26748860.8156126	0.418213532565178	0.419015759446622	0.322021195600438	0.320240080740622	0.718843692616536	0.721217083354131	0.134673621772921	0.134185640636779	0.581786467434822	0.580984240553378
"38"	1987	331829	28088660.0255213	28012366.6317092	86512435.3329209	16341965.6974983	16280679.0656804	23410888.281113	11746694.328023	11731687.5660288	28088660.0255213	28012366.6317092	0.418200594736452	0.418803870457303	0.324677717341204	0.323795839568159	0.71880546963951	0.720589572382099	0.135780414489765	0.135606950849117	0.581799405263548	0.581196129542697
"39"	1988	331996	29400340.45044	29225920.1563035	89755664.2501976	17106118.5410356	16981216.4179937	24282427.6450986	12294221.9094044	12244703.7383098	29400340.45044	29225920.1563035	0.418165970905291	0.418967261691804	0.327559722230848	0.325616443267971	0.718703186810725	0.721073416468267	0.13697432927613	0.136422629597806	0.581834029094709	0.581032738308196
"40"	1989	332163	30477705.0171538	30174178.5163901	93129941.9503824	17585322.6898195	17382406.5834922	24919543.0770977	12892382.3273343	12791771.9328979	30477705.0171538	30174178.5163901	0.423010273249843	0.423931074907296	0.327260002302929	0.324000830285777	0.733133110761625	0.735903390100542	0.138434342997906	0.137354020253906	0.576989726750157	0.576068925092704
"41"	1990	332330	35964576.2705287	35824596.8374518	106049635.098784	20358957.1434563	20231472.6990352	27889908.8595877	15605619.1270724	15593124.1384166	35964576.2705287	35824596.8374518	0.433916390664123	0.435263073836333	0.339129656005209	0.337809713386392	0.766523502019763	0.77073598992921	0.147153916300946	0.147036094220332	0.566083609335877	0.564736926163667
"42"	1991	332497	36788293.5705914	36635696.6850228	110933965.613088	20860374.3318987	20709473.2867791	28389389.0923233	15927919.2386927	15926223.3982437	36788293.5705914	36635696.6850228	0.432961621558481	0.434718726251345	0.33162335239056	0.330247787344046	0.76354906126188	0.769030828437873	0.143580184397676	0.143564897461529	0.567038378441519	0.565281273748655
"43"	1992	332664	37738379.1234808	37203677.6237513	114697239.364575	21425675.8206356	21099164.9838175	29173547.5291467	16312703.3028452	16104512.6399338	37738379.1234808	37203677.6237513	0.432257656044783	0.43287421213575	0.329026045723091	0.324364194202585	0.761362369122284	0.763277250653544	0.142224027301947	0.140408895010492	0.567742343955217	0.56712578786425
"44"	1993	332831	38557398.4581837	38188496.2163943	118406998.00824	22026694.9237589	21768637.413456	29897284.1697438	16530703.5344248	16419858.8029383	38557398.4581837	38188496.2163943	0.428729743070003	0.429968719111	0.325634456634907	0.322518912385033	0.7504849725137	0.754289691682246	0.139609176927824	0.138673043647266	0.571270256929997	0.570031280889
"45"	1994	332998	40018580.1923522	39508585.456552	122639110.603696	22824819.636679	22496235.3399672	30704145.3277968	17193760.5556732	17012350.1165848	40018580.1923522	39508585.456552	0.429644441982452	0.430598815928084	0.326311728741013	0.322153228787044	0.753292285738071	0.756230980850399	0.140198020607262	0.13871879886311	0.570355558017548	0.569401184071916
"46"	1995	333165	41896815.8671734	41389674.6023347	126880978.95766	23669661.1385406	23346417.3099366	31521033.8002033	18227154.7286328	18043257.2923981	41896815.8671734	41389674.6023347	0.435048686907828	0.435936195820692	0.330205647933676	0.326208663759965	0.770064033529999	0.772849086558503	0.143655533543094	0.142206163923271	0.564951313092172	0.564063804179308
"47"	1996	333332	43549083.304438	42997634.838693	131484193.038947	24538268.8569645	24180486.9932435	32666965.8470198	19010814.4474735	18817147.8454495	43549083.304438	42997634.838693	0.436537649129715	0.437632160839605	0.331211549448673	0.327017520851018	0.774741468450323	0.778195569456786	0.144586311160934	0.143113384282442	0.563462350870285	0.562367839160395
"48"	1997	333499	45344082.5520894	44370154.5480397	136334594.830684	25443874.5999182	24856435.6170925	33721172.3935481	19900207.9521712	19513718.9309472	45344082.5520894	44370154.5480397	0.438871112439217	0.439793801254843	0.332594105028169	0.325450444937646	0.782121758776279	0.785057006223719	0.145965944864438	0.143131088299207	0.561128887560783	0.560206198745157
"49"	1998	333666	46301720.9255728	44761192.6609691	141186013.448309	26139689.8301085	25247147.3910938	34738490.0582768	20162031.0954643	19514045.2698753	46301720.9255728	44761192.6609691	0.435448849252785	0.435959010692117	0.327948355468828	0.317037017815912	0.771318681533895	0.772920796460322	0.142804734003244	0.138215144639804	0.564551150747215	0.564040989307883
"50"	1999	333833	48000825.9540645	46425327.347451	146111643.544644	26972774.3799266	26066031.3984847	36085758.7948475	21028051.5741379	20359295.9489663	48000825.9540645	46425327.347451	0.438076869640976	0.438538554539329	0.328521566040682	0.317738725136342	0.779602842404939	0.781066194455283	0.143917699260653	0.139340681242461	0.561923130359024	0.561461445460671
"51"	2000	334000	50227329.6759215	49431732.7480376	151348425.944306	28100398.6287255	27619672.0602314	37593454.9737396	22126931.047196	21812060.6878062	50227329.6759215	49431732.7480376	0.440535684257239	0.441256243210939	0.331865556992342	0.326608832828084	0.787424098125672	0.789729169855447	0.146198620231031	0.14411818657323	0.559464315742761	0.558743756789061
"52"	2001	334167	51252945.8860222	50178468.9926813	156469890.812564	28701524.5696156	28047588.917466	38859543.0002998	22551421.3164066	22130880.0752153	51252945.8860222	50178468.9926813	0.440002441353462	0.441043350255328	0.327557881071307	0.320690892874657	0.785722070676356	0.789047505663981	0.144126267355942	0.141438585789812	0.559997558646538	0.558956649744672
"53"	2002	334334	52808929.6087321	51485206.4598386	161556216.134243	29173568.6779408	28386871.0395157	40110830.7390313	23635360.9307913	23098335.4203229	52808929.6087321	51485206.4598386	0.447563718975344	0.448640240732858	0.326876494587192	0.318682918502236	0.810163514505608	0.81369783193678	0.146298059563067	0.142973981274293	0.552436281024656	0.551359759267142
"54"	2003	334501	54365066.7263523	53310461.4221474	167159507.44808	29701901.1488684	29069908.6927131	41406548.0758716	24663165.5774839	24240552.7294343	54365066.7263523	53310461.4221474	0.453658333606514	0.454705363314747	0.325228684603765	0.318919708702215	0.830356462836169	0.833870962089078	0.147542703098382	0.145014502013674	0.546341666393486	0.545294636685253
"55"	2004	334668	57413463.1135635	56406292.7030704	173459918.803395	30711150.6499598	30104442.5799522	43134204.1075524	26702312.4636037	26301850.1231183	57413463.1135635	56406292.7030704	0.465087995315432	0.466292834765341	0.330989795853864	0.325183437719714	0.869466363144513	0.873686667782176	0.153939380623538	0.151630706993064	0.534912004684568	0.533707165234659
"56"	2005	334835	60434755.0678347	60472595.2395644	180508044.269127	31781492.2196117	31736678.3687976	44982934.1064553	28653262.848223	28735916.8707668	60434755.0678347	60472595.2395644	0.474118953838091	0.475189079564527	0.334803666576376	0.335013298074423	0.901570720790187	0.905448154871147	0.158736764138348	0.159194660753862	0.525881046161909	0.524810920435473
"57"	2006	335002	64126329.5048196	63565819.6817467	188368559.147163	33345338.0148617	32981137.4755245	46942791.9296904	30780991.4899579	30584682.2062222	64126329.5048196	63565819.6817467	0.480005509868524	0.481149812263096	0.340430111028883	0.337454509232009	0.923097300025543	0.927338610711026	0.163408329019018	0.162366173764316	0.519994490131476	0.518850187736904
"58"	2007	335169	68066556.0668712	67043594.330862	197119170.359676	34985934.3131531	34362296.1924364	49308373.8201662	33080621.7537181	32681298.1384256	68066556.0668712	67043594.330862	0.486004047585696	0.487463395490738	0.345306628181687	0.34011706831218	0.945540612339211	0.951080159352654	0.167820418954469	0.16579462098381	0.513995952414304	0.512536604509263
"59"	2008	335336	69410208.2738479	68794648.0111019	206078062.035015	35739056.1559695	35331656.3863535	50697478.23148	33671152.1178784	33462991.6247484	69410208.2738479	68794648.0111019	0.485103747060285	0.486418530978576	0.336815125241494	0.333828100535092	0.942138817850519	0.947110751299879	0.163390279321228	0.162380174261648	0.514896252939715	0.513581469021424
"60"	2009	337512	68577427.0382314	68188768.5890991	214721245.055445	35270276.1869024	34901918.2110117	51654571.4770183	33307150.851329	33286850.3780874	68577427.0382314	68188768.5890991	0.485686796513385	0.488157376454057	0.319378862676228	0.31756880215319	0.944340517063985	0.953725528116827	0.155118096687305	0.155023553302759	0.514313203486615	0.511842623545943
"61"	2010	337680	72414987.3640412	72029648.0780811	224149281.360112	36855974.8050012	36532007.8918669	53552916.6226427	35559012.55904	35497640.1862142	72414987.3640412	72029648.0780811	0.491044932180674	0.492819847567967	0.323065891287429	0.321346772298414	0.964809986635187	0.971685988114468	0.158639868677125	0.158366067340563	0.508955067819326	0.507180152432033
"62"	2011	337848	75162327.0779406	74988301.1978162	234206070.703189	38104691.7944148	37919830.5781041	55433317.7825231	37057635.2835258	37068470.6197121	75162327.0779406	74988301.1978162	0.493034698687527	0.494323381482225	0.320923906251748	0.320180860268346	0.972521585621577	0.977548423993127	0.158226621420455	0.158272885533737	0.506965301312473	0.505676618517775
